,Beaches,Info,lati,long,White_S,Swimming,Surfing,Snorkeling,Nocturnal
112,Playa Llorona,False,8.55098615,-83.67574233732144,False,False,False,False,False
113,Playa Madrigal,False,8.44555585,-83.47673768801486,False,False,False,False,False
114,Playa Mata de Limón,False,9.932353,-84.7214484577186,True,False,False,False,True
115,Playa Mantas,False,9.7069288,-84.66102724814694,False,True,False,False,False
116,Playas Manuel Antonio,True,9.9762003,-84.8275820644447,True,True,True,True,True
117,Playa Matapalo,False,9.3264791,-83.9770332774872,False,True,True,False,False
118,Playa Montezuma,False,9.65749655,-85.06428452816802,True,True,False,True,True
119,Playa Órganos,False,9.814823599999999,-84.8983848,False,False,False,False,False
120,Playa Palma,False,8.644378999999999,-83.43307844500589,False,True,False,False,False
121,Playa Palo Seco,False,8.51584085,-83.13636745062689,False,False,False,False,False
122,Playa Pavones,False,8.3951665,-83.13752916620182,False,False,True,False,False
123,Playa Piñuela,False,9.099237400000002,-83.68639854258035,False,False,False,False,False
124,Playa Platanares,False,8.5261289,-83.28649189971166,False,False,False,False,False
125,Playa Pógeres,False,8.51584085,-83.13636745062689,False,False,False,False,False
126,Playa Quizales,False,8.51584085,-83.13636745062689,False,False,False,False,False
127,Playa San Josecito (Golfito),False,8.51584085,-83.13636745062689,False,True,False,False,False
128,Playa Savegre,False,9.3636875,-84.07059179999999,False,False,False,False,False
129,Playa Sombrero,False,8.41559,-83.28017707267725,False,False,False,False,False
130,Playa Tamales,False,8.45534045,-83.28052152519095,False,False,False,False,False
131,Playa Tambor,True,9.7457061,-84.9885464,False,True,False,False,False
132,Playa Tárcoles,False,9.75938975,-84.62798911113678,False,False,False,False,False
133,Playa Tivives,False,9.921222300000002,-84.7148891,False,False,False,False,False
134,Playa Tortuga,True,9.77324635,-84.895385665156,False,True,False,True,False
135,Playa Uvita,False,9.15530975,-83.75738881586818,False,True,False,True,False
136,Playa Zancudo,False,8.51584085,-83.13636745062689,False,True,True,True,False
